"name","country","subcountry","geonameid"
"Chico","United States","California","5336269"
"Chiconcuac","Mexico","México","3530932"
"Chicopee","United States","Massachusetts","4933002"
"Chicureo Abajo","Chile","Santiago Metropolitan","3895165"
"Chidambaram","India","Tamil Nadu","1274256"
"Chidawa","India","Rajasthan","1274102"
"Chieri","Italy","Piedmont","3178818"
"Chieti","Italy","Abruzzo","3178796"
"Chifeng","China","Inner Mongolia","2038067"
"Chiffa","Algeria","Blida","2501323"
"Chigasaki","Japan","Kanagawa","1864624"
"Chignahuapan","Mexico","Puebla","3530908"
"Chigorodó","Colombia","Antioquia","3686636"
"Chiguayante","Chile","Biobío","3895138"
"Chihuahua","Mexico","Chihuahua","4014338"
"Chik Ballāpur","India","Karnataka","1274243"
"Chikhli","India","Maharashtra","1274237"
"Chikmagalūr","India","Karnataka","1274220"
"Chiknāyakanhalli","India","Karnataka","1274219"
"Chikodi","India","Karnataka","1274218"
"Chikushino-shi","Japan","Fukuoka","1864572"
"Chilakalūrupet","India","Andhra Pradesh","1274213"
"Chilapa de Alvarez","Mexico","Guerrero","3530886"
"Chilaw","Sri Lanka","North Western","1249145"
"Chilecito","Argentina","La Rioja","3861445"
"Chilibre","Panama","Panamá","3712455"
"Chililabombwe","Zambia","Copperbelt","919544"
"Chillán","Chile","Biobío","3895088"
"Chilliwack","Canada","British Columbia","5921356"
"Chillum","United States","Maryland","4351383"
"Chillupār","India","Uttar Pradesh","1274195"
"Chilly-Mazarin","France","Île-de-France","3025144"
"Chilmāri","Bangladesh","Rangpur Division","1185247"
"Chilpancingo de los Bravos","Mexico","Guerrero","3530870"
"Chimala","Tanzania","Mbeya","160464"
"Chimaltenango","Guatemala","Chimaltenango","3598572"
"Chimbarongo","Chile","O'Higgins","3895061"
"Chimbas","Argentina","San Juan","3861416"
"Chimbote","Peru","Ancash","3698304"
"Chimichagua","Colombia","Cesar","3686585"
"Chimoio","Mozambique","Manica","1049261"
"Chinandega","Nicaragua","Chinandega","3620381"
"Chinautla","Guatemala","Guatemala","3598529"
"Chinch'ŏn","South Korea","Chungcheongbuk-do","1846095"
"Chincha Alta","Peru","Ica","3943789"
"Chinchiná","Colombia","Caldas","3686561"
"Chincholi","India","Karnataka","1274169"
"Chingola","Zambia","Copperbelt","919009"
"Chinhoyi","Zimbabwe","Mashonaland West","893697"
"Chiniot","Pakistan","Punjab","1181096"
"Chinju","South Korea","Gyeongsangnam-do","1846052"
"Chinna Salem","India","Tamil Nadu","1274146"
"Chinnachowk","India","Andhra Pradesh","7302830"
"Chinnamanūr","India","Tamil Nadu","1274151"
"Chino","Japan","Nagano","1864557"
"Chino","United States","California","5336537"
"Chino Hills","United States","California","5336545"
"Chinoz","Uzbekistan","Toshkent","1514215"
"Chintāmani","India","Karnataka","1274129"
"Chinú","Colombia","Córdoba","3686540"
"Chioggia","Italy","Veneto","3178784"
"Chios","Greece","North Aegean","259973"
"Chipata","Zambia","Eastern","918702"
"Chipinge","Zimbabwe","Manicaland","893549"
"Chipiona","Spain","Andalusia","2519477"
"Chiplūn","India","Maharashtra","1274119"
"Chippenham","United Kingdom","England","2653144"
"Chipping Sodbury","United Kingdom","England","2653137"
"Chīpurupalle","India","Andhra Pradesh","1274116"
"Chiquimula","Guatemala","Chiquimula","3598465"
"Chiquinquirá","Colombia","Boyacá","3686513"
"Chīrāla","India","Andhra Pradesh","1274106"
"Chirchiq","Uzbekistan","Toshkent","1514210"
"Chiredzi","Zimbabwe","Masvingo","893485"
"Chiriguaná","Colombia","Cesar","3686479"
"Chiroqchi","Uzbekistan","Qashqadaryo","1217540"
"Chirpan","Bulgaria","Stara Zagora","732452"
"Chiryū","Japan","Aichi","1864549"
"Chisec","Guatemala","Alta Verapaz","3598415"
"Chishmy","Russia","Bashkortostan","568012"
"Chishtiān Mandi","Pakistan","Punjab","1181073"
"Chişinău","Moldova","Chişinău","618426"
"Chislehurst","United Kingdom","England","2653123"
"Chistopol’","Russia","Tatarstan","567990"
"Chita","Russia","Transbaikal Territory","2025339"
"Chītāpur","India","Karnataka","1274077"
"Chitose","Japan","Hokkaido","2130452"
"Chitradurga","India","Karnataka","1274056"
"Chitré","Panama","Herrera","3712384"
"Chittagong","Bangladesh","Chittagong","1205733"
"Chittaranjan","India","West Bengal","1274043"
"Chittaurgarh","India","Rajasthan","1274040"
"Chittūr","India","Kerala","1274032"
"Chitungwiza","Zimbabwe","Harare","1106542"
"Chivacoa","Venezuela","Yaracuy","3645671"
"Chivasso","Italy","Piedmont","3178745"
"Chivilcoy","Argentina","Buenos Aires","3861344"
"Chizhou","China","Anhui Sheng","1814934"
"Chkalov","Tajikistan","Viloyati Sughd","1538311"
"Chlef","Algeria","Chlef","2498611"
"Cho Dok","Vietnam","An Giang","1585660"
"Choa Saidān Shāh","Pakistan","Punjab","1181053"
"Chocope","Peru","La Libertad","3698194"
"Chodavaram","India","Andhra Pradesh","1274020"
"Chodzież","Poland","Greater Poland Voivodeship","3101680"
"Chōfugaoka","Japan","Tokyo","1864518"
"Choisy-le-Roi","France","Île-de-France","3025055"
"Chojnice","Poland","Pomeranian Voivodeship","3101672"
"Chok Chai","Thailand","Nakhon Ratchasima","1611135"
"Chokwé","Mozambique","Gaza","1048364"
"Cholargós","Greece","Attica","259949"
"Cholet","France","Pays de la Loire","3025053"
"Choloma","Honduras","Cortés","3613533"
"Cholpon-Ata","Kyrgyzstan","Ysyk-Köl","1528512"
"Cholula","Mexico","Puebla","3530757"
"Chom Bueng","Thailand","Ratchaburi","1153646"
"Choma","Zambia","Southern","917748"
"Chomutov","Czech Republic","Ústecký","3077685"
"Chon Buri","Thailand","Chon Buri","1611110"
"Chon Daen","Thailand","Phetchabun","1611106"
"Chone","Ecuador","Manabí","3659139"
"Chongjin","North Korea","Hamgyŏng-bukto","2044757"
"Chŏngju","North Korea","P'yŏngan-bukto","1878389"
"Chonglong","China","Sichuan","1814919"
"Chongoyape","Peru","Lambayeque","3698176"
"Chongqing","China","Chongqing Shi","1814906"
"Chopda","India","Maharashtra","1273992"
"Chor","Pakistan","Sindh","1181022"
"Chorfa","Algeria","Bouira","2501289"
"Chorley","United Kingdom","England","2653086"
"Chortkiv","Ukraine","Ternopil","710400"
"Chortoq","Uzbekistan","Namangan","1514258"
"Chorzów","Poland","Silesian Voivodeship","3101619"
"Chosica","Peru","Lima region","3943423"
"Choszczno","Poland","West Pomeranian Voivodeship","3101613"
"Chotila","India","Gujarat","1273960"
"Chowchilla","United States","California","5336667"
"Christchurch","United Kingdom","England","2653075"
"Christchurch","New Zealand","Canterbury","2192362"
"Christiana","South Africa","North-West","1013550"
"Chrudim","Czech Republic","Pardubický","3077539"
"Chrzanów","Poland","Lesser Poland Voivodeship","3101547"
"Chu","Kazakhstan","Zhambyl","1519030"
"Chubek","Tajikistan","Khatlon","1221997"
"Chudovo","Russia","Novgorod","567774"
"Chuhar Jamāli","Pakistan","Sindh","1108161"
"Chūhar Kāna","Pakistan","Punjab","1180983"
"Chuhuyiv","Ukraine","Kharkiv","710374"
"Chula Vista","United States","California","5336899"
"Chulucanas","Peru","Piura","3698105"
"Chum Phae","Thailand","Khon Kaen","1611026"
"Chumphon","Thailand","Chumphon","1153557"
"Chunār","India","Uttar Pradesh","1273923"
"Chuncheon","South Korea","Gangwon-do","1845136"
"Chunghwa","North Korea","Pyongyang","1877872"
"Chūniān","Pakistan","Punjab","1180942"
"Chunskiy","Russia","Irkutsk","1507636"
"Chur","Switzerland","Grisons","2661169"
"Churāchāndpur","India","Manipur","1273909"
"Chūru","India","Rajasthan","1273892"
"Chusovoy","Russia","Perm","567434"
"Chust Shahri","Uzbekistan","Namangan","1514192"
"Chuzhou","China","Anhui Sheng","1814757"
"Ciamis","Indonesia","West Java","1647149"
"Ciampea","Indonesia","West Java","1647383"
"Ciampino","Italy","Latium","3178738"
"Cianorte","Brazil","Paraná","3466174"
"Cibinong","Indonesia","West Java","1647003"
"Cibolo","United States","Texas","4681462"
"Cicero","United States","Illinois","4888015"
"Cícero Dantas","Brazil","Bahia","3466171"
"Cicurug","Indonesia","West Java","1646893"
"Ciechanów","Poland","Masovian Voivodeship","774208"
"Ciego de Ávila","Cuba","Ciego de Ávila","3564178"
"Ciempozuelos","Spain","Madrid","3125082"
"Ciénaga","Colombia","Magdalena","3686279"
"Ciénaga de Oro","Colombia","Córdoba","3686272"
"Cienfuegos","Cuba","Cienfuegos","3564124"
"Cieszyn","Poland","Silesian Voivodeship","3101321"
"Cieza","Spain","Murcia","2519425"
"Cifuentes","Cuba","Villa Clara","3564114"
"Cihuatlán","Mexico","Jalisco","3976999"
"Cikampek","Indonesia","West Java","1646698"
"Cikarang","Indonesia","West Java","1646678"
"Cikupa","Indonesia","West Java","1985663"
"Cileungsir","Indonesia","West Java","1646494"
"Cileunyi","Indonesia","West Java","1646492"
"Cimahi","Indonesia","West Java","1646448"
"Cimarron Hills","United States","Colorado","5417041"
"Cimin","Turkey","Erzincan","298230"
"Cincinnati","United States","Ohio","4508722"
"Cinco Ranch","United States","Texas","4681485"
"Cinco Saltos","Argentina","Rio Negro","3861061"
"Çine","Turkey","Aydın","318372"
"Cinisello Balsamo","Italy","Lombardy","3178671"
"Cintalapa de Figueroa","Mexico","Chiapas","3530617"
"Cipolletti","Argentina","Rio Negro","3861056"
"Ciputat","Indonesia","West Java","1646194"
"Ciranjang-hilir","Indonesia","West Java","1964032"
"Circasia","Colombia","Quindío","3686233"
"Cirebon","Indonesia","West Java","1646170"
"Cirencester","United Kingdom","England","2652995"
"Ciriè","Italy","Piedmont","3178650"
"Ciro Redondo","Cuba","Ciego de Ávila","3564084"
"Cisnădie","Romania","Sibiu","681502"
"Cisterna di Latina","Italy","Latium","3178631"
"Citeureup","Indonesia","West Java","1646034"
"Citrus Heights","United States","California","5337561"
"Citrus Park","United States","Florida","4151157"
"Città di Castello","Italy","Umbria","3178619"
"City Center","Spain","Madrid","6544494"
"City of Balikpapan","Indonesia","East Kalimantan","8224624"
"City of Isabela","Philippines","Autonomous Region in Muslim Mindanao","1710519"
"City of London","United Kingdom","England","2643741"
"City of Milford (balance)","United States","Connecticut","7160204"
"City of Parramatta","Australia","New South Wales","7302259"
"City of Sammamish","United States","Washington","7174365"
"Ciudad Acuña","Mexico","Coahuila","4013728"
"Ciudad Altamirano","Mexico","Guerrero","4013727"
"Ciudad Anáhuac","Mexico","Nuevo León","4013726"
"Ciudad Bolívar","Colombia","Antioquia","3792376"
"Ciudad Bolívar","Venezuela","Bolívar","3645532"
"Ciudad Camargo","Mexico","Chihuahua","4013724"
"Ciudad Choluteca","Honduras","Choluteca","3613528"
"Ciudad Constitución","Mexico","Baja California Sur","4013723"
"Ciudad de Huajuapan de León","Mexico","Oaxaca","3527023"
"Ciudad de Huitzuco","Mexico","Guerrero","8858115"
"Ciudad de Villa de Álvarez","Mexico","Colima","3980194"
"Ciudad del Carmen","Mexico","Campeche","3530599"
"Ciudad del Este","Paraguay","Alto Paraná","3439101"
"Ciudad Delicias","Mexico","Chihuahua","4013720"
"Ciudad Fernández","Mexico","San Luis Potosí","3530596"
"Ciudad Frontera","Mexico","Coahuila","3980180"
"Ciudad Guayana","Venezuela","Bolívar","3645528"
"Ciudad Guzmán","Mexico","Jalisco","4013714"
"Ciudad Hidalgo","Mexico","Michoacán","4013712"
"Ciudad Juárez","Mexico","Chihuahua","4013708"
"Ciudad Lázaro Cárdenas","Mexico","Michoacán","4026082"
"Ciudad Lerdo","Mexico","Coahuila","4013706"
"Ciudad Lineal","Spain","Madrid","3124964"
"Ciudad López Mateos","Mexico","México","3532624"
"Ciudad Madero","Mexico","Tamaulipas","3530594"
"Ciudad Mante","Mexico","Tamaulipas","3528756"
"Ciudad Mendoza","Mexico","Veracruz","3530592"
"Ciudad Miguel Alemán","Mexico","Tamaulipas","3530590"
"Ciudad Nezahualcoyotl","Mexico","México","3530589"
"Ciudad Nueva","Dominican Republic","Nacional","3509578"
"Ciudad Obregón","Mexico","Sonora","4013704"
"Ciudad Real","Spain","Castille-La Mancha","2519402"
"Ciudad Sabinas","Mexico","Coahuila","3988333"
"Ciudad Sahagun","Mexico","Hidalgo","3530587"
"Ciudad Sandino","Nicaragua","Managua","3828262"
"Ciudad Serdán","Mexico","Puebla","3530584"
"Ciudad Valles","Mexico","San Luis Potosí","3530582"
"Ciudad Victoria","Mexico","Tamaulipas","3530580"
"Ciudad Vieja","Guatemala","Sacatepéquez","3598128"
"Ciutadella","Spain","Balearic Islands","3124967"
"Ciutat Vella","Spain","Catalonia","6544106"
"Civitanova Marche","Italy","The Marches","3170102"
"Civitavecchia","Italy","Latium","3178587"
"Cizre","Turkey","Şırnak","318253"
"Clacton-on-Sea","United Kingdom","England","2652974"
"Clamart","France","Île-de-France","3024783"
"Claremont","United States","California","5337696"
"Claremore","United States","Oklahoma","4533580"
"Clarence-Rockland","Canada","Ontario","5923101"
"Clarksdale","United States","Mississippi","4421935"
"Clarksville","United States","Indiana","4255836"
"Clarksville","United States","Tennessee","4613868"
"Cláudio","Brazil","Minas Gerais","3466062"
"Clausthal-Zellerfeld","Germany","Lower Saxony","2939995"
"Clayton","Australia","Victoria","2171400"
"Clayton","Australia","Victoria","8347717"
"Clayton","United States","Missouri","4381478"
"Clayton","United States","North Carolina","4460943"
"Clearfield","United States","Utah","5772959"
"Clearlake","United States","California","5337908"
"Clearwater","United States","Florida","4151316"
"Cleburne","United States","Texas","4681976"
"Cleckheaton","United Kingdom","England","2652890"
"Cleethorpes","United Kingdom","England","2652885"
"Clement Town","India","Uttarakhand","1273880"
"Clemmons","United States","North Carolina","4461015"
"Clermont","United States","Florida","4151352"
"Clermont-Ferrand","France","Auvergne-Rhône-Alpes","3024635"
"Clevedon","United Kingdom","England","2652861"
"Cleveland","United States","Tennessee","4614088"
"Cleveland","United States","Ohio","5150529"
"Clichy","France","Île-de-France","3024597"
"Clichy-sous-Bois","France","Île-de-France","3024596"
"Cliffside Park","United States","New Jersey","5096686"
"Clifton","United States","New Jersey","5096699"
"Clifton","United States","Colorado","5417258"
"Clinton","United States","Maryland","4351871"
"Clinton","United States","Mississippi","4422133"
"Clinton","United States","Iowa","4852022"
"Clinton","United States","Michigan","4989133"
"Clinton","United States","Utah","5773001"
"Clitheroe","United Kingdom","England","2652819"
"Clive","United States","Iowa","4852065"
"Cloppenburg","Germany","Lower Saxony","2939969"
"Cloverleaf","United States","Texas","4682127"
"Cloverly","United States","Maryland","4351851"
"Clovis","United States","California","5338122"
"Clovis","United States","New Mexico","5462393"
"Cluain Meala","Ireland","Munster","2965353"
"Cluj-Napoca","Romania","Cluj","681290"
"Cluses","France","Auvergne-Rhône-Alpes","3024532"
"Clydach","United Kingdom","Wales","2652734"
"Clydebank","United Kingdom","Scotland","2652730"
"Coacalco","Mexico","México","3530569"
"Coachella","United States","California","5338166"
"Coalville","United Kingdom","England","2652698"
"Coaraci","Brazil","Bahia","3466041"
"Coari","Brazil","Amazonas","3664539"
"Coatbridge","United Kingdom","Scotland","2652696"
"Coatepec","Mexico","Veracruz","3530531"
"Coatepeque","Guatemala","Quetzaltenango","3598122"
"Coatlinchán","Mexico","México","3518277"
"Coatzacoalcos","Mexico","Veracruz","3530517"
"Coatzintla","Mexico","Veracruz","3530513"
"Cobán","Guatemala","Alta Verapaz","3598119"
"Cobham","United Kingdom","England","2652689"
"Cobija","Bolivia","Pando","3919998"
"Cobourg","Canada","Ontario","5924579"
"Coburg","Australia","Victoria","2171168"
"Coburg","Germany","Bavaria","2939951"
"Cochabamba","Bolivia","Cochabamba","3919968"
"Cochin","India","Kerala","1273874"
"Cochrane","Canada","Alberta","5924618"
"Cockburn Town","Turks and Caicos Islands","N/A","3576994"
"Cockeysville","United States","Maryland","4351887"
"Cocoa","United States","Florida","4151440"
"Coconut Creek","United States","Florida","4151455"
"Coconut Grove","United States","Florida","4151460"
"Codlea","Romania","Braşov","681179"
"Codó","Brazil","Maranhão","3402000"
"Coelho Neto","Brazil","Maranhão","3401992"
"Coesfeld","Germany","North Rhine-Westphalia","2939945"
"Coeur d'Alene","United States","Idaho","5589173"
"Coffs Harbour","Australia","New South Wales","2171085"
"Cofradía","Honduras","Cortés","3613394"
"Cogan","Philippines","Central Visayas","1718328"
"Cognac","France","Aquitaine-Limousin-Poitou-Charentes","3024440"
"Cohoes","United States","New York","5113142"
"Coihaique","Chile","Aisén","3894426"
"Coimbatore","India","Tamil Nadu","1273865"
"Coimbra","Portugal","Coimbra","2740637"
"Coín","Spain","Andalusia","2519367"
"Coishco","Peru","Ancash","3697990"
"Coity","United Kingdom","Wales","2652622"
"Cojutepeque","El Salvador","Cuscatlán","3586977"
"Colachel","India","Tamil Nadu","1266322"
"Colatina","Brazil","Espírito Santo","3465944"
"Colchester","United States","Vermont","5235024"
"Cole Harbour","Canada","Nova Scotia","7280414"
"Colegiales","Argentina","Buenos Aires F.D.","3435356"
"Colfontaine","Belgium","Wallonia","2800220"
"Colgong","India","Bihar","1273856"
"Colima","Costa Rica","San José","3624174"
"Colima","Mexico","Colima","4013516"
"Colinas","Brazil","Maranhão","3401963"
"Collado-Villalba","Spain","Madrid","3124794"
"Colle di Val d'Elsa","Italy","Tuscany","3178402"
"Colleferro","Italy","Latium","3178398"
"College Park","United States","Maryland","4351977"
"College Station","United States","Texas","4682464"
"Collegno","Italy","Piedmont","3178388"
"Colleyville","United States","Texas","4682478"
"Collierville","United States","Tennessee","4614748"
"Collingwood","Canada","Ontario","5925975"
"Collinsville","United States","Illinois","4236191"
"Collipulli","Chile","Araucanía","3894177"
"Colmar","France","Alsace-Champagne-Ardenne-Lorraine","3024297"
"Colmenar Viejo","Spain","Madrid","3124765"
"Cologno Monzese","Italy","Lombardy","3178283"
"Colomadu","Indonesia","Central Java","1645978"
"Colomba","Guatemala","Quetzaltenango","3598073"
"Colombes","France","Île-de-France","3024266"
"Colombia","Cuba","Las Tunas","3563856"
"Colombo","Brazil","Paraná","3465927"
"Colombo","Sri Lanka","Western","1248991"
"Colomiers","France","Languedoc-Roussillon-Midi-Pyrénées","3024223"
"Colón","Cuba","Matanzas","3563843"
"Colón","Panama","Colón","3712076"
"Colonelganj","India","Uttar Pradesh","1273850"
"Colonia","United States","New Jersey","5096798"
"Colonia del Sacramento","Uruguay","Colonia","3443013"
"Colonia del Valle","Mexico","Mexico City","7280708"
"Colonia Lindavista","Mexico","México","7280711"
"Colonia Mariano Roque Alonso","Paraguay","Central","3438995"
"Colonia Nativitas","Mexico","Mexico City","7280718"
"Colonia Santa Teresa","Mexico","México","8858090"
"Colorado","Brazil","Paraná","3465881"
"Colorado Springs","United States","Colorado","5417598"
"Colton","United States","California","5338783"
"Columbia","United States","Maryland","4352053"
"Columbia","United States","Missouri","4381982"
"Columbia","United States","South Carolina","4575352"
"Columbia","United States","Tennessee","4614867"
"Columbia Heights","United States","Minnesota","5021828"
"Columbine","United States","Colorado","5417657"
"Columbus","United States","Georgia","4188985"
"Columbus","United States","Indiana","4256038"
"Columbus","United States","Mississippi","4422442"
"Columbus","United States","Ohio","4509177"
"Columbus","United States","Nebraska","5066001"
"Comal","Indonesia","Central Java","1645976"
"Comalapa","Guatemala","Chimaltenango","3598034"
"Comalcalco","Mexico","Tabasco","3530385"
"Comăneşti","Romania","Bacău","681017"
"Comayagua","Honduras","Comayagua","3613321"
"Combs-la-Ville","France","Île-de-France","3024107"
"Comé","Benin","Mono","2394824"
"Comilla","Bangladesh","Chittagong","1185186"
"Comiso","Italy","Sicily","2524955"
"Comitán","Mexico","Chiapas","3530367"
"Comitancillo","Guatemala","San Marcos","3598025"
"Commack","United States","New York","5113412"
"Commerce City","United States","Colorado","5417737"
"Como","Italy","Lombardy","3178229"
"Comodoro Rivadavia","Argentina","Chubut","3860443"
"Comonfort","Mexico","Guanajuato","4013094"
"Compiègne","France","Nord-Pas-de-Calais-Picardie","3024066"
"Compostela","Mexico","Nayarit","4013085"
"Compostela","Philippines","Central Visayas","1717051"
"Compostela","Philippines","Davao","1717053"
"Compton","United States","California","5339066"
"Comrat","Moldova","Găgăuzia","618405"
"Conakry","Guinea","Conakry","2422465"
"Concarneau","France","Brittany","3024035"
"Conceição da Barra","Brazil","Espírito Santo","3465769"
"Conceição da Feira","Brazil","Bahia","3465767"
"Conceição das Alagoas","Brazil","Minas Gerais","3465764"
"Conceição do Araguaia","Brazil","Pará","3401845"
"Conceição do Coité","Brazil","Bahia","3465748"
"Conceição do Jacuípe","Brazil","Bahia","3465758"
"Concepcion","Philippines","Central Luzon","1716995"
"Concepción","Chile","Biobío","3893894"
"Concepción","Paraguay","Concepción","3438834"
"Concepción de La Vega","Dominican Republic","La Vega","3509382"
"Concepcion Ibaba","Philippines","Calabarzon","1717008"
"Concepci��n del Uruguay","Argentina","Entre Rios","3435264"
"Conception Bay South","Canada","Newfoundland and Labrador","5926511"
"Conchal","Brazil","São Paulo","3465731"
"Concord","United States","Missouri","4382072"
"Concord","United States","North Carolina","4461574"
"Concord","United States","Massachusetts","4933743"
"Concord","United States","New Hampshire","5084868"
"Concord","United States","California","5339111"
"Concordia","Argentina","Entre Rios","3435261"
"Concórdia","Brazil","Santa Catarina","3465721"
"Condado","Brazil","Pernambuco","3401830"
"Condado","Cuba","Sancti Spíritus","3563609"
"Conde","Brazil","Paraíba","3385077"
"Conde","Brazil","Bahia","3465713"
"Conegliano","Italy","Veneto","3178197"
"Coney Island","United States","New York","5113481"
"Conflans-Sainte-Honorine","France","Île-de-France","3023924"
"Congonhas","Brazil","Minas Gerais","3465671"
"Conil de la Frontera","Spain","Andalusia","2519289"
"Conroe","United States","Texas","4682991"
"Conselheiro Lafaiete","Brazil","Minas Gerais","3465644"
"Consolacion","Philippines","Central Visayas","1716924"
"Consolación del Sur","Cuba","Pinar del Río","3563559"
"Constanţa","Romania","Constanța","680963"
"Constantine","Algeria","Constantine","2501152"
"Constanza","Dominican Republic","La Vega","3509363"
"Constitución","Chile","Maule","3893726"
"Contagem","Brazil","Minas Gerais","3465624"
"Contai","India","West Bengal","1344069"
"Contramaestre","Cuba","Santiago de Cuba","3563504"
"Conversano","Italy","Apulia","3178147"
"Converse","United States","Texas","4683021"
"Conway","United States","Arkansas","4106458"
"Conway","United States","South Carolina","4575461"
"Conyers","United States","Georgia","4189213"
"Cookeville","United States","Tennessee","4615145"
"Coon Rapids","United States","Minnesota","5022025"
"Coondapoor","India","Karnataka","1273834"
"Cooper City","United States","Florida","4151824"
"Coos Bay","United States","Oregon","5720495"
"Copenhagen","Denmark","Capital Region","2618425"
"Copertino","Italy","Apulia","3178141"
"Copiague","United States","New York","5113683"
"Copiapó","Chile","Atacama","3893656"
"Coppell","United States","Texas","4683217"
"Copperas Cove","United States","Texas","4683244"
"Coquimbo","Chile","Coquimbo","3893629"
"Coquitlam","Canada","British Columbia","5927689"
"Corabia","Romania","Olt","680897"
"Coral Gables","United States","Florida","4151871"
"Coral Springs","United States","Florida","4151909"
"Coral Terrace","United States","Florida","4151921"
"Coralville","United States","Iowa","4852640"
"Coram","United States","New York","5113694"
"Corato","Italy","Apulia","3178131"
"Corbeil-Essonnes","France","Île-de-France","3023763"
"Corcoran","United States","California","5339539"
"Cordeiro","Brazil","Rio de Janeiro","3465527"
"Cordeirópolis","Brazil","São Paulo","3465524"
"Cordenons","Italy","Friuli Venezia Giulia","3178112"
"Córdoba","Argentina","Cordoba","3860259"
"Córdoba","Spain","Andalusia","2519240"
"Córdoba","Mexico","Veracruz","3530240"
"Cordova","Philippines","Central Visayas","1716858"
"Corfu","Greece","Ionian Islands","2463679"
"Coria del Río","Spain","Andalusia","2519233"
"Corigliano Scalo","Italy","Calabria","9003711"
"Corinth","United States","Texas","4683317"
"Corinto","Brazil","Minas Gerais","3465512"
"Corinto","Colombia","Cauca","3685871"
"Corinto","Nicaragua","Chinandega","3620269"
"Cork","Ireland","Munster","2965140"
"Çorlu","Turkey","Tekirdağ","748893"
"Cormano","Italy","Lombardy","3178087"
"Cormeilles-en-Parisis","France","Île-de-France","3023645"
"Cornaredo","Italy","Lombardy","3178074"
"Cornélio Procópio","Brazil","Paraná","3465508"
"Cornelius","United States","North Carolina","4461941"
"Cornellà de Llobregat","Spain","Catalonia","3124569"
"Corner Brook","Canada","Newfoundland and Labrador","5927969"
"Cornwall","Canada","Ontario","5928065"
"Coro","Venezuela","Falcón","3645213"
"Coroatá","Brazil","Maranhão","3401703"
"Coromandel","Brazil","Minas Gerais","3465487"
"Corona","United States","California","5339631"
"Coronado","United States","California","5339663"
"Coronda","Argentina","Santa Fe","3860217"
"Coronel","Chile","Biobío","3893532"
"Coronel Fabriciano","Brazil","Minas Gerais","3465476"
"Coronel Oviedo","Paraguay","Caaguazú","3438819"
"Coronel Suárez","Argentina","Buenos Aires","3860164"
"Coronel Vivida","Brazil","Paraná","3465459"
"Corozal","Colombia","Sucre","3685823"
"Corpus Christi","United States","Texas","4683416"
"Corralillo","Cuba","Villa Clara","3563317"
"Correggio","Italy","Emilia-Romagna","3178019"
"Corrientes","Argentina","Corrientes","3435217"
"Corroios","Portugal","Setúbal","2269041"
"Corsicana","United States","Texas","4683462"
"Corsico","Italy","Lombardy","3178004"
"Cortazar","Mexico","Guanajuato","4012721"
"Cortland","United States","New York","5113790"
"Çorum","Turkey","Çorum","748879"
"Corumbá","Brazil","Mato Grosso do Sul","3465342"
"Coruripe","Brazil","Alagoas","3465329"
"Corvallis","United States","Oregon","5720727"
"Corvera de Asturias","Spain","Asturias","7115111"
"Cosamaloapan de Carpio","Mexico","Veracruz","3530177"
"Cosenza","Italy","Calabria","2524907"
"Coslada","Spain","Madrid","3124408"
"Cosmópolis","Brazil","São Paulo","3465320"
"Cosoleacaque","Mexico","Veracruz","3530167"
"Cosquín","Argentina","Cordoba","3859965"
"Costa Mesa","United States","California","5339840"
"Coswig","Germany","Saxony","2939820"
"Cotabato","Philippines","Autonomous Region in Muslim Mindanao","1716771"
"Côte-Saint-Luc","Canada","Quebec","5928488"
"Cotia","Brazil","São Paulo","3465284"
"Cotoca","Bolivia","Santa Cruz","3918937"
"Cotonou","Benin","Littoral","2394819"
"Cottage Grove","United States","Minnesota","5022134"
"Cottage Lake","United States","Washington","5790971"
"Cottbus","Germany","Brandenburg","2939811"
"Cottonwood Heights","United States","Utah","5773304"
"Cotuí","Dominican Republic","Sánchez Ramírez","3509207"
"Coudekerque-Branche","France","Nord-Pas-de-Calais-Picardie","3023356"
"Couëron","France","Pays de la Loire","3023324"
"Coulommiers","France","Île-de-France","3023240"
"Council Bluffs","United States","Iowa","4852832"
"Country Club","United States","Florida","4152093"
"Country Club Hills","United States","Illinois","4888892"
"Country Walk","United States","Florida","4152064"
"Courbevoie","France","Île-de-France","3023141"
"Courcelles","Belgium","Wallonia","2800063"
"Cournon-d’Auvergne","France","Auvergne-Rhône-Alpes","3022988"
"Courtenay","Canada","British Columbia","5930890"
"Cova Figueira","Cape Verde","Santa Catarina do Fogo","3374707"
"Cové","Benin","Zou","2394814"
"Coventry","United States","Rhode Island","5221637"
"Covilhã","Portugal","Castelo Branco","2740313"
"Covina","United States","California","5340175"
"Covington","United States","Kentucky","4288809"
"Covington","United States","Washington","5791159"
"Cox’s Bāzār","Bangladesh","Chittagong","1336134"
"Coxim","Brazil","Mato Grosso do Sul","3465228"
"Coyah","Guinea","Kindia","2422457"
"Coyoacán","Mexico","Mexico City","3530139"
"Coyotepec","Mexico","Morelos","3530123"
"Cradock","South Africa","Eastern Cape","1012600"
"Craigavon","United Kingdom","Northern Ireland","3345440"
"Craigieburn","Australia","Victoria","2170089"
"Crailsheim","Germany","Baden-Württemberg","2939797"
"Craiova","Romania","Dolj","680332"
"Cran-Gevrier","France","Auvergne-Rhône-Alpes","3022700"
"Cranberry Township","United States","Pennsylvania","8643098"
